iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
161,tensor(0.5440),0.5107999444007874,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
162,tensor(0.5204),0.5146200060844421,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
163,tensor(0.5457),0.5188000202178955,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
164,tensor(0.5401),0.5177599787712097,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
165,tensor(0.5285),0.5192800164222717,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
166,tensor(0.5464),0.5168799757957458,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
167,tensor(0.5695),0.5231401324272156,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
168,tensor(0.5454),0.5168399810791016,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
169,tensor(0.5178),0.5215200185775757,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
170,tensor(0.5516),0.5226200222969055,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
171,tensor(0.5345),0.5245800018310547,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
172,tensor(0.5245),0.5252999663352966,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
173,tensor(0.5179),0.524940013885498,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
174,tensor(0.5442),0.5214400291442871,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
175,tensor(0.5423),0.523360013961792,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
176,tensor(0.5159),0.5258200168609619,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
177,tensor(0.5477),0.5267800092697144,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
178,tensor(0.5381),0.5281599760055542,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
179,tensor(0.5716),0.5313999652862549,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
180,tensor(0.5313),0.527720034122467,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
181,tensor(0.5320),0.5253400206565857,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
182,tensor(0.5438),0.5262200832366943,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
183,tensor(0.5358),0.5263398289680481,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
184,tensor(0.5399),0.5295801758766174,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
185,tensor(0.5135),0.5322800874710083,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
186,tensor(0.5034),0.5325000882148743,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
187,tensor(0.5303),0.5326800346374512,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
188,tensor(0.5662),0.5286200046539307,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
189,tensor(0.4883),0.5335800647735596,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
190,tensor(0.5399),0.5338800549507141,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
191,tensor(0.5047),0.5400800108909607,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
192,tensor(0.5095),0.5338200330734253,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
193,tensor(0.5035),0.5378000736236572,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
194,tensor(0.5186),0.5399599671363831,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
195,tensor(0.5243),0.5364599823951721,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
196,tensor(0.5057),0.5401400923728943,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
197,tensor(0.5230),0.5402400493621826,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
198,tensor(0.5075),0.5356199741363525,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
199,tensor(0.5219),0.5360000729560852,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
