iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
117,8.214572415749233,1.916481375694275,44.55668258666992,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
118,8.206094671885172,1.930257797241211,44.655853271484375,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
119,8.239141979614894,1.937145471572876,44.73109817504883,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
120,8.22069448987643,1.9440743923187256,44.815589904785156,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
121,8.195121830701828,1.936673641204834,44.77088165283203,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
122,8.203258002201716,1.9513989686965942,44.90843200683594,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
123,8.22291074514389,1.9322713613510132,44.72197341918945,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
124,8.20614628871282,1.9008111953735352,44.39686584472656,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
125,8.189013963540395,1.8837066888809204,44.264320373535156,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
126,8.232714538971583,1.8648793697357178,44.05862045288086,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
127,8.217083942492803,1.8423492908477783,43.816001892089844,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
128,8.275111280679702,1.8621790409088135,44.0031852722168,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
129,8.287167750994364,1.850464940071106,43.91495132446289,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
130,8.312932631174723,1.8458806276321411,43.87901306152344,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
131,8.31992573738098,1.8519896268844604,43.92901611328125,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
132,8.31819080511729,1.866631269454956,44.0771598815918,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
133,8.27913134098053,1.8369513750076294,43.77938461303711,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
134,8.248208233515422,1.8160123825073242,43.57045364379883,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
135,8.266485233306884,1.8102750778198242,43.494110107421875,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
136,8.2888303677241,1.8322073221206665,43.71426773071289,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
137,8.287371360460916,1.8561562299728394,43.94704055786133,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
138,8.278590538501739,1.8663842678070068,44.06987762451172,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
139,8.285987561543783,1.8713438510894775,44.09041213989258,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
140,8.286172459125519,1.8572518825531006,43.918785095214844,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
141,8.270233238140742,1.8555119037628174,43.91981887817383,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
142,8.272502758105595,1.8760875463485718,44.147823333740234,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
143,8.234381410280863,1.876883625984192,44.1296501159668,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
144,8.22855778694153,1.89075767993927,44.26182174682617,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
145,8.248294767538706,1.8596516847610474,43.96809387207031,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
146,8.220066438913346,1.8731950521469116,44.11159133911133,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
147,8.218522216081618,1.8658334016799927,44.044586181640625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
148,8.185882536570231,1.8742027282714844,44.15287780761719,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
149,8.175241890350977,1.8498502969741821,43.93130111694336,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
150,8.13396501104037,1.8549741506576538,43.97904586791992,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
151,8.162833114465078,1.8439730405807495,43.851966857910156,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
152,8.168685391346614,1.8465503454208374,43.93416213989258,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
153,8.163587505817413,1.8450437784194946,43.94219207763672,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
154,8.168383399645487,1.8618091344833374,44.10117721557617,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
155,8.172861063083014,1.8922725915908813,44.342838287353516,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
156,8.195519053141275,1.8699429035186768,44.10484313964844,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
157,8.210614233016967,1.8326334953308105,43.75827407836914,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
158,8.214624709685644,1.8558763265609741,44.017616271972656,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
159,8.181350708405176,1.857344627380371,44.01539993286133,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
160,8.15702907482783,1.886277675628662,44.3015251159668,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
161,8.178303780555725,1.8776092529296875,44.239383697509766,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
162,8.16411587079366,1.8947309255599976,44.403099060058594,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
163,8.165791418552399,1.9106749296188354,44.55071258544922,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
164,8.140894772609075,1.8854809999465942,44.294681549072266,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
165,8.139743518829345,1.9068775177001953,44.54912567138672,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
166,8.164603992700577,1.8951610326766968,44.44357681274414,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
167,8.152018045981725,1.8809601068496704,44.27556610107422,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
168,8.1615240808328,1.9013334512710571,44.45663833618164,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
169,8.154763686259587,1.9258496761322021,44.71657943725586,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
170,8.138037762244542,1.9322031736373901,44.75402069091797,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
171,8.14648089647293,1.92207670211792,44.673641204833984,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
172,8.169994498888652,1.8859326839447021,44.329505920410156,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
173,8.150770630836487,1.9047290086746216,44.498172760009766,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
174,8.177478840351105,1.8943204879760742,44.38406753540039,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
175,8.189236501057943,1.8700249195098877,44.15010070800781,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
176,8.21649092276891,1.882561445236206,44.2636604309082,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
177,8.173946181138357,1.8816754817962646,44.216400146484375,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
178,8.176200746695201,1.86951744556427,44.08304977416992,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
179,8.159818553129831,1.8667904138565063,44.017826080322266,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
180,8.204019439220428,1.8724052906036377,44.037811279296875,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
181,8.161761523087819,1.8779109716415405,44.1185188293457,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
182,8.16678641319275,1.8898159265518188,44.24568176269531,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
183,8.159411854743958,1.8995084762573242,44.33018112182617,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
184,8.189456449349722,1.9182955026626587,44.535953521728516,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
185,8.204578103224437,1.9320030212402344,44.693580627441406,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
