iter,data_n_clusters_2.0_mean,data_n_clusters_2.0_upper,data_n_clusters_2.0_lower,data_n_clusters_3.0_mean,data_n_clusters_3.0_upper,data_n_clusters_3.0_lower,data_n_clusters_5.0_mean,data_n_clusters_5.0_upper,data_n_clusters_5.0_lower,data_n_clusters_10.0_mean,data_n_clusters_10.0_upper,data_n_clusters_10.0_lower
81,0.03743563443422314,0.03814413083674313,0.036727138031703147,0.2145144641399383,0.21675472321370012,0.21227420506617647,0.521808597445488,0.5295276933176984,0.5140895015732776,0.9471851229667664,0.953671244302598,0.9406990016309348
82,0.03687368221580977,0.03749843010052137,0.03624893433109817,0.21224967986345286,0.21466514777255769,0.20983421195434804,0.5196993678808213,0.5276886524044817,0.5117100833571608,0.9465381979942322,0.9523348839661462,0.9407415120223183
83,0.035968688130378686,0.03667194901855749,0.03526542724219988,0.21164904534816736,0.21384517772365502,0.2094529129726797,0.5186641424894333,0.5262106651357332,0.5111176198431333,0.9407123684883117,0.9459383194773026,0.9354864174993209
84,0.03652527835220095,0.03735825271552691,0.03569230398887499,0.21098003089427947,0.21349089730065185,0.2084691644879071,0.5184596359729767,0.5268629917031559,0.5100562802427976,0.9424796819686889,0.9481193759264548,0.936839988010923
85,0.03607079796493049,0.03683973532088536,0.035301860608975624,0.208870829641819,0.2112302359809748,0.2065114233026632,0.5144625812768936,0.5224900628697516,0.5064350996840356,0.9386305749416352,0.9441507342039536,0.9331104156793167
86,0.03582140486687417,0.036758182654391236,0.034884627079357106,0.20994118601083755,0.21297378040808296,0.20690859161359215,0.5129816472530365,0.5211835384037572,0.5047797561023158,0.9355224072933197,0.9428966941650291,0.9281481204216103
87,0.03557008374482388,0.036618785629003385,0.03452138186064437,0.20962561815977093,0.2126719763451758,0.20657925997436608,0.5121080636978149,0.5211458698349168,0.503070257560713,0.9373574793338776,0.9434812942494212,0.931233664418334
88,0.035127730481326516,0.03614647008655443,0.0341089908760986,0.20848646908998486,0.21109211178887521,0.2058808263910945,0.5101467877626419,0.5195093343293343,0.5007842411959494,0.9334732294082642,0.9402489334738577,0.9266975253426706
89,0.03415703810751434,0.03490969561117034,0.033404380603858336,0.20544543266296383,0.20821190124115874,0.20267896408476893,0.5099777430295944,0.5188478557012645,0.5011076303579244,0.9331382095813752,0.939781922067029,0.9264944970957213
90,0.033520258404314475,0.03434799745088914,0.03269251935773981,0.20427417308092113,0.20671854906968867,0.2018297970921536,0.5081503927707672,0.5163381422977743,0.49996264324376016,0.9309144258499146,0.9377595679225368,0.9240692837772924
