iter,algo_R_local_0.0_mean,algo_R_local_0.0_upper,algo_R_local_0.0_lower,algo_R_local_1.0_mean,algo_R_local_1.0_upper,algo_R_local_1.0_lower,algo_R_local_3.0_mean,algo_R_local_3.0_upper,algo_R_local_3.0_lower,algo_R_local_5.0_mean,algo_R_local_5.0_upper,algo_R_local_5.0_lower
91,0.16925742179155348,0.16961469968791348,0.16890014389519348,0.12820686399936673,0.12863776788498857,0.1277759601137449,0.14518872946500774,0.145610702988773,0.1447667559412425,0.16313696056604382,0.16362139174977192,0.16265252938231572
92,0.1646987214684486,0.1652488219124114,0.16414862102448582,0.1266875609755516,0.12724638166951663,0.12612874028158655,0.1442032217979431,0.14462128544945801,0.14378515814642817,0.16262610256671906,0.16314615885546402,0.1621060462779741
93,0.1603607833385467,0.16082368048313006,0.15989788619396333,0.12496620938181872,0.1255481183492779,0.12438430041435956,0.14315601885318757,0.14352040072852282,0.14279163697785233,0.16150591224431987,0.16200246670776042,0.16100935778087933
94,0.15607170611619947,0.15653603733366367,0.15560737489873527,0.12334987744688986,0.12384081915157387,0.12285893574220584,0.14196662455797193,0.14228020838434527,0.1416530407315986,0.16068656593561173,0.161259244135624,0.16011388773559945
95,0.15191309154033655,0.15235782072071047,0.15146836235996264,0.12216640934348107,0.12267440099991922,0.12165841768704291,0.14146553575992582,0.1418524322316868,0.14107863928816483,0.1600462347269058,0.1606611055868125,0.15943136386699908
96,0.14805698394775388,0.14837682606402514,0.14773714183148262,0.12091879397630687,0.12143402289042506,0.12040356506218867,0.14071432203054426,0.14118581985943307,0.14024282420165546,0.1595247700810432,0.16028847058706408,0.15876106957502234
97,0.1449464052915573,0.14549488050285042,0.1443979300802642,0.11974275112152095,0.12015210146195926,0.11933340078108265,0.14015754610300063,0.14065673311601934,0.13965835908998192,0.15868557840585706,0.15936669529721004,0.1580044615145041
98,0.14147538095712658,0.1420394464753968,0.14091131543885638,0.11832042038440702,0.1187869403038561,0.11785390046495793,0.13953246623277663,0.1400322701646966,0.13903266230085665,0.15802654176950454,0.1586193973169342,0.15743368622207488
99,0.13834937810897824,0.13899889382923114,0.13769986238872534,0.11731051653623574,0.11772720240708111,0.11689383066539037,0.13868357241153717,0.13913279829203432,0.13823434653104003,0.15716535449028013,0.15775727832980851,0.15657343065075174
100,0.13499727994203564,0.13567815195722258,0.1343164079268487,0.11615256965160366,0.11653665279145616,0.11576848651175116,0.13763583302497862,0.13810213940109203,0.1371695266488652,0.1564688742160797,0.15702804714685756,0.15590970128530182
