iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
76,0.2737185299396515,0.27496790324159687,0.27246915663770616,0.2882515549659729,0.28983396241197007,0.2866691475199757,0.3318351109822591,0.33355601662629314,0.33011420533822505,0.4222072958946228,0.4235067998928411,0.4209077918964045
77,0.26385528445243833,0.2651299460073594,0.26258062289751727,0.2787190765142441,0.2801709126689309,0.2772672403595573,0.323546439409256,0.32532928052050963,0.32176359829800233,0.4151237517595291,0.41641720515995795,0.41383029835910023
78,0.25462797433137896,0.25585812917824013,0.2533978194845178,0.26970049142837527,0.2711140598919296,0.26828692296482093,0.31641947229703266,0.3185131960416868,0.3143257485523785,0.4081548422574996,0.4098565629202659,0.4064531215947333
79,0.24634806662797923,0.24747103420299024,0.24522509905296822,0.26165510416030885,0.2631629574903675,0.2601472508302502,0.3091175556182861,0.3108201640565422,0.30741494718002993,0.4017532020807266,0.40324025390727164,0.4002661502541816
80,0.23779263198375697,0.23882820553604367,0.23675705843147027,0.253692090511322,0.25517752589176806,0.252206655130876,0.301917165517807,0.3035093980864229,0.3003249329491911,0.39581650495529175,0.3975732667273086,0.3940597431832749
81,0.2298584178090095,0.23100457705998784,0.22871225855803118,0.24602579474449154,0.24741261215595248,0.2446389773330306,0.2952054639657338,0.2959962796765095,0.29441464825495817,0.39184018671512605,0.393189949173873,0.3904904242563791
82,0.22253646701574326,0.22365438088400674,0.22141855314747977,0.23901305794715882,0.24023376018863316,0.2377923557056845,0.29114943742752075,0.2917205175887034,0.2905783572663381,0.38653073012828826,0.38795886277269237,0.38510259748388415
83,0.2158567056059837,0.21689636856325856,0.21481704264870882,0.23229364156723023,0.2334647832585092,0.23112249987595126,0.2864130437374115,0.28744085527039076,0.28538523220443224,0.3821881115436554,0.38368665776822536,0.38068956531908543
84,0.2090205430984497,0.20993881233041545,0.20810227386648394,0.22594714313745495,0.22711061401272667,0.22478367226218324,0.28011056780815125,0.28137119413974393,0.27884994147655856,0.37569816708564757,0.37704045960574617,0.374355874565549
85,0.20287952870130538,0.20363903375783748,0.20212002364477327,0.21986370533704752,0.22088009177325846,0.21884731890083658,0.27512898047765094,0.2758795668255744,0.2743783941297275,0.3713394582271576,0.37256799770389715,0.370110918750418
86,0.19693238735198973,0.19766212096190444,0.19620265374207502,0.21400248259305948,0.21493080212260526,0.2130741630635137,0.2687723636627197,0.2696136032545228,0.2679311240709166,0.3665256559848785,0.3677831441972199,0.3652681677725371
87,0.19136728793382643,0.19212335864244698,0.19061121722520588,0.2082556039094925,0.20912003336810447,0.2073911744508805,0.2646342913309732,0.265933978090764,0.2633346045711824,0.36222890615463255,0.36371566848569836,0.36074214382356673
88,0.18633985817432402,0.18703438818325926,0.18564532816538878,0.20332472175359723,0.20426425598280917,0.20238518752438528,0.26009722550710035,0.2616244110338564,0.2585700399803443,0.3598629832267761,0.3609942227139441,0.35873174373960814
89,0.18091563433408736,0.18164623258353524,0.18018503608463948,0.19863913953304288,0.19948335105539053,0.19779492801069523,0.256423940261205,0.2571700447980406,0.2556778357243694,0.35718503296375276,0.3582951025351199,0.3560749633923856
90,0.17562482208013533,0.17627204467170565,0.174977599488565,0.19317724257707597,0.19401985775454217,0.19233462739960977,0.2516501843929291,0.2525013121997373,0.25079905658612084,0.3544812113046646,0.3555465289138593,0.3534158936954699
91,0.1704947635531425,0.1710502208587908,0.1699393062474942,0.18848666995763777,0.18933647501006967,0.18763686490520587,0.24749264617760972,0.24824435658821128,0.24674093576700815,0.3503667652606964,0.3513423426447036,0.34939118787668916
92,0.16573483049869536,0.16640020318665916,0.16506945781073157,0.184333336353302,0.18518672329351918,0.18347994941308485,0.24464892844359076,0.2458755311992775,0.24342232568790403,0.3477345436811447,0.3489851792835757,0.3464839080787137
