iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
238,0.00012849538,6.808289e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
239,0.00012309419,6.5530214e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
240,0.00011906503,6.3114065e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
241,0.000114689494,5.94728e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
242,0.00011126731,5.7658228e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
243,0.00010813354,6.0051145e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
244,0.000104484614,5.589747e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
245,0.00010165181,5.6444016e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
246,9.829524e-05,5.874851e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
247,9.494127e-05,5.7041016e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
248,9.2089766e-05,5.4542612e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
249,8.956078e-05,5.1135827e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
250,8.6721695e-05,4.9657334e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
251,8.264933e-05,4.8961505e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
252,7.9722755e-05,5.3291857e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
253,7.667478e-05,4.7851558e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
254,7.3557836e-05,4.6205485e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
255,7.114028e-05,4.349997e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
256,6.841543e-05,3.7616315e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
257,6.642649e-05,3.5273308e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
258,6.482225e-05,3.600022e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
259,6.2354826e-05,3.387969e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
260,6.0424027e-05,3.24434e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
261,5.8708305e-05,3.0550953e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
262,5.6847675e-05,2.9266137e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
263,5.530357e-05,2.981244e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
264,5.244137e-05,2.859998e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
265,5.0610786e-05,2.6158255e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
266,4.8993774e-05,2.6739708e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
267,4.7107525e-05,2.7352182e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
268,4.5798966e-05,2.5792864e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
269,4.455571e-05,2.619941e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
270,4.2728097e-05,2.4462632e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
271,4.127601e-05,2.10886e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
272,4.0003735e-05,2.0733944e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
273,3.9105693e-05,1.9861634e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
274,3.7951377e-05,1.8578812e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
