iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
152,0.0004144762,0.0006664987,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
153,0.0003885787,0.00062323466,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
154,0.00036437632,0.000583762,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
155,0.0003421337,0.00054717285,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
156,0.00032093338,0.00051249773,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
157,0.00030099764,0.00047953424,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
158,0.00028240823,0.00045014822,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
159,0.00026535342,0.00042278573,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
160,0.0002490881,0.00039661585,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
161,0.00023314994,0.0003710274,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
162,0.0002186237,0.0003474772,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
163,0.00020463351,0.00032547937,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
164,0.00019209048,0.00030496318,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
165,0.00018027652,0.00028583343,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
166,0.00016914356,0.00026757419,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
167,0.00015866129,0.0002509968,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
168,0.00014872775,0.00023518299,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
169,0.00013979156,0.00022119698,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
170,0.00013135193,0.00020755467,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
171,0.00012294733,0.0001943321,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
172,0.00011556022,0.00018261331,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
173,0.00010843564,0.00017122217,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
174,0.00010176192,0.00016061937,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
175,9.5361516e-05,0.00015070307,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
176,8.945056e-05,0.00014152363,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
177,8.388583e-05,0.0001325095,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
178,7.867421e-05,0.00012417672,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
179,7.389318e-05,0.00011651464,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
180,6.938501e-05,0.00010925671,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
181,6.5121996e-05,0.000102541286,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
182,6.118657e-05,9.620007e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
183,5.7439614e-05,9.03183e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
184,5.3951055e-05,8.4796746e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
185,5.06341e-05,7.968958e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
186,4.7582544e-05,7.4747855e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
187,4.463661e-05,7.0086586e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
188,4.189066e-05,6.5711e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
189,3.928651e-05,6.164421e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
190,3.6882037e-05,5.7745707e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
191,3.4702007e-05,5.4287662e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
192,3.2549342e-05,5.090115e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
193,3.0560917e-05,4.7774534e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
194,2.8731289e-05,4.4869277e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
195,2.7018617e-05,4.2203068e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
196,2.5387882e-05,3.9636172e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
197,2.382857e-05,3.718137e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
198,2.2412225e-05,3.491257e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
199,2.1025946e-05,3.2758493e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
200,1.9727166e-05,3.0690066e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
201,1.852389e-05,2.8790075e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
202,1.739533e-05,2.7076125e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
203,1.6347021e-05,2.539161e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
204,1.5327243e-05,2.3821196e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
205,1.4385373e-05,2.234678e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
206,1.3501291e-05,2.095958e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
207,1.2642729e-05,1.9639172e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
208,1.1874075e-05,1.8467945e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
209,1.1147114e-05,1.732763e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
210,1.0484947e-05,1.6302009e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
211,9.843954e-06,1.5287545e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
212,9.238046e-06,1.4330651e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
213,8.668768e-06,1.3446534e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
214,8.1465905e-06,1.2642984e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
215,7.649182e-06,1.1854438e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
216,7.1758686e-06,1.1107269e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
217,6.7240767e-06,1.04046985e-05,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
218,6.2985096e-06,9.746177e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
219,5.9150534e-06,9.142628e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
220,5.5569944e-06,8.586052e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
221,5.221716e-06,8.069366e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
222,4.905536e-06,7.567588e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
223,4.603894e-06,7.1073678e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
224,4.3290383e-06,6.673648e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
225,4.0653244e-06,6.2605236e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
226,3.8146266e-06,5.866787e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
227,3.5806497e-06,5.5088162e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
228,3.3609958e-06,5.171826e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
229,3.1555596e-06,4.8553247e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
230,2.9635592e-06,4.5531256e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
231,2.7829913e-06,4.2729957e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
232,2.6152197e-06,4.015665e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
233,2.4603285e-06,3.7710051e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
234,2.3150412e-06,3.5434985e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
235,2.1736053e-06,3.32535e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
236,2.0365626e-06,3.1161264e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
237,1.9100755e-06,2.9214225e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
238,1.7892731e-06,2.7325475e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
239,1.682132e-06,2.565459e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
240,1.5794177e-06,2.4112874e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
241,1.4823613e-06,2.2610436e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
242,1.3912677e-06,2.12138e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
243,1.3083254e-06,1.9939307e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
244,1.2269213e-06,1.8723257e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
245,1.1531439e-06,1.7611488e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
246,1.0831338e-06,1.6550205e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
247,1.0152451e-06,1.5513656e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
248,9.5193946e-07,1.453487e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
249,8.939569e-07,1.36547e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
250,8.38797e-07,1.281136e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
251,7.8652147e-07,1.2006707e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
252,7.391412e-07,1.1285139e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
253,6.9313114e-07,1.0560752e-06,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
254,6.508892e-07,9.916747e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
255,6.1037036e-07,9.3055763e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
256,5.721316e-07,8.716608e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
257,5.3682845e-07,8.183303e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
258,5.039757e-07,7.685095e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
259,4.7223597e-07,7.204357e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
260,4.4330213e-07,6.763055e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
261,4.161337e-07,6.3465916e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
262,3.9054092e-07,5.9535415e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
263,3.666815e-07,5.59237e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
264,3.4443977e-07,5.246054e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
265,3.2355078e-07,4.924989e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
266,3.0385687e-07,4.6196564e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
267,2.8536573e-07,4.337592e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
268,2.6809687e-07,4.0752198e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
269,2.514721e-07,3.8261112e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
270,2.3673502e-07,3.5941525e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
271,2.2216685e-07,3.3713366e-07,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
