iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
146,0.47988558,0.3286000192165375,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
147,0.45248017,0.3348500430583954,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
148,0.42453033,0.3360000252723694,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
149,0.425999,0.33810001611709595,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
150,0.42716867,0.3345000147819519,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
151,0.4265911,0.33250001072883606,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
152,0.427386,0.33535000681877136,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
153,0.3686796,0.33915001153945923,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
154,0.42609817,0.3331000506877899,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
155,0.3907181,0.3315500319004059,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
156,0.3506596,0.333950012922287,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
157,0.3633338,0.3379499912261963,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
158,0.36423606,0.3347499966621399,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
159,0.3432071,0.34005007147789,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
160,0.32623434,0.34140005707740784,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
161,0.35868043,0.336899995803833,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
162,0.37554285,0.3340499997138977,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
163,0.33652073,0.33925002813339233,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
164,0.2951936,0.3429500162601471,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
165,0.2800141,0.3458000719547272,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
166,0.318679,0.3413000702857971,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
167,0.2972345,0.33924999833106995,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
